CODIGO,NOMBRE PRODUCTO,DESCRIPCION,OBSERVACIONES,CATEGORIA,SUBCATEGORIA,COLOR,UNIDAD DE VENTA
ABR-01,,CHAQUETA IMPERMEABLE MUJER CON ABRIGO INTERNO./ ESPECIFICACIONES: 75D 190T POLYESTER TAFFETA RECUBRIMIENTO: 100% POLUESTER Y TELA CONFORTABLE 300.         ,"TALLAS: ABR-01-SM (TALLA S), ABR-01-MM (TALLA M), ABR-01-LM (TALLA L) Y ABR-01-XLM (TALLA XL)",,,-,PIEZA
GOR-01,,GORRA CON FRENTE RIGIDA 9 FORTY C/ RED MILITAR Y LOGO PLACA.,,,,-,PIEZA
CAP-01,,CAPA SET DE PANTALON Y CHAQUETA IMPERMEABLE MEJORADA CON RECUBRIMIENTO DE POLYESTER Y CEDA SHUMEI C/ LOGO PLACA.           ,"TALLAS: S, M, L Y XL",,,-,SET
COR-01,,CORBATA 100% POLYESTER .,,,,-,PIEZA
PLT-01,,PANOLETA 100% POLYESTER.,,,,-,PIEZA
FAJ-03B,,"FAJA CIERRE EN ""X"" C/PASADOR  BEIGE- KHAKI",,,,BEIGE-KHAKI,PIEZA
FAJ-03N,,"FAJA CIERRE EN ""X"" C/PASADOR/ NEGRA",,,,NEGRO,PIEZA
PAN-06,,PANO 30X30CM BLANCO 100% ALGODON/ 32S/ 215G/ COLOR: AZUL OSCURO/  CON LOGO ESTRELLA CORPORACION ,,,,AZUL OSCURO,PIEZA
CAP-02,,CAPA AEROPUERTO HOMBRE SET DE PANTALON Y CHAQUETA IMPERMEABLE MEJORADA CON RECUBRIMIENTO DE POLYESTER Y CEDA SHUMEI.             ,"TALLAS: CAP-02-SH (TALLA S), CAP-02-MH (TALLA M), CAP-02-LH (TALLA L) Y CAP-02-XLH (TALLA XL)",,,-,SET
CAP-02,,CAPA AEROPUERTO MUJER SET DE PANTALON Y CHAQUETA IMPERMEABLE MEJORADA CON RECUBRIMIENTO DE POLYESTER Y CEDA SHUMEI.             ,"TALLAS: CAP-02-SM (TALLA S), CAP-02-MM (TALLA M), CAP-02-LM (TALLA L) Y CAP-02-XLM (TALLA XL)",,,-,SET
CUG-01,,SET CAMISA Y PANTALON GRIS UOT,,,,GRIS,SET
CUG-02,,SET CAMISA Y PANTALON VERDE OSCURO UOT,,,,VERDE OSCURO,SET
PCH-01,,PARCHE LOGO K-9 INTERNACIONAL CIRCULAR 8CM C/ VELCRO,,,,-,PIEZA
PCH-02,,PARCHE LOGO K-9 INTERNACIONAL CIRCULAR 17CM C/ VELCRO,,,,-,PIEZA
PCH-04,,PARCHE NEGRO K-9 LETRAS./ TELA OXFORD C/VELCRO,,,,-,PIEZA
PCH-03,,PARCHE NEGRO K-9 SPECIAL UNIT LETRAS./ TELA OXFORD C/VELCRO,,,,-,PIEZA
